Day,Date,Day of Week,Location,#,Activity,DIY?,Cost (AUD/pp),Priority,Book Link,Booked?
1,Sep 5,Saturday,Sydney,1,The Rocks self-guided walk — Historic laneways; oldest pubs; Rocks Discovery Museum; weekend markets,✅ Free,$0,Must-Do,https://sydneyexpert.com/rocks-self-guided-walk/,
1,Sep 5,Saturday,Sydney,2,Circular Quay → Opera House → Botanic Garden → Mrs Macquarie's Chair — 2-3hr waterfront loop,✅ Free,$0,Must-Do,https://sydneyexpert.com/self-guided-walk-to-the-gardens/,
1,Sep 5,Saturday,Sydney,3,Opera House guided tour — 1hr interior tour,❌ Ticketed,~$45,Strong Recommend,https://www.viator.com/tours/Sydney/Sydney-Opera-House-Guided-Walking-Tour/d357-2482SOH1,
1,Sep 5,Saturday,Sydney,4,Opera House backstage tour — Go onstage; dressing rooms; behind the scenes,❌ Ticketed,~$175,Nice-to-Have,https://www.viator.com/tours/Sydney/Sydney-Opera-House-Guided-Backstage-Tour/d357-2482SOH2,
1,Sep 5,Saturday,Sydney,5,Taronga Zoo + ferry combo — Ferry across harbour + zoo entry; koalas; kangaroos,❌ Ticketed,~$65,Strong Recommend,https://www.viator.com/tours/Sydney/Sydney-Harbour-Cruise-with-Taronga-Zoo-Entry-Ticket/d357-3378ZOOEXPRESS,
2,Sep 6,Sunday,Sydney,1,Bondi → Coogee coastal walk — 6km; cliffs; Tamarama; Bronte; rock pools,✅ Free,$0,Must-Do,Just show up at Bondi,
2,Sep 6,Sunday,Sydney,2,Bondi → Coogee guided walk — Same route + guide + lunch at Coogee Bay Hotel,❌ Paid tour,~$50,Nice-to-Have,https://www.viator.com/tours/Sydney/Bondi-to-Coogee-Guided-Walk/d357-143462P1,
2,Sep 6,Sunday,Sydney,3,Ferry to Manly + Manly Beach — 30-min ferry; harbour views; walk to Shelly Beach,✅ Opal card,~$10,Must-Do,Tap on at Circular Quay,
2,Sep 6,Sunday,Sydney,4,Watsons Bay + Camp Cove + South Head walk — Swim Camp Cove; walk to Hornby Lighthouse,✅ Opal card,~$10,Strong Recommend,Tap on at Circular Quay,
2,Sep 6,Sunday,Sydney,5,BridgeClimb — Climb to summit of the Harbour Bridge; day/twilight/dawn options,❌ Ticketed,$250–400,Strong Recommend,https://www.bridgeclimb.com/,
2,Sep 6,Sunday,Sydney,6,Harbour Hop-On Hop-Off ferry — All-day pass: Circular Quay; Darling Harbour; Taronga; Watsons Bay; Manly,❌ Ticketed,~$60,Nice-to-Have,https://www.viator.com/tours/Sydney/Sydney-Harbour-Hop-on-Hop-off-Cruise/d357-3378EXPLORER,
2,Sep 6,Sunday,Sydney,7,Cockatoo Island — UNESCO convict site + shipyard ruins,✅ Opal card,~$10 ferry,Nice-to-Have,Public ferry,
3,Sep 7,Monday,Blue Mountains,1,DIY train to Katoomba — Three Sisters; Giant Stairway; Prince Henry Cliff Walk (7km); Wentworth Falls,✅ Opal card,~$10,Must-Do,Train from Central Station,
3,Sep 7,Monday,Blue Mountains,2,Scenic World — Steepest railway; Skyway glass-floor cable car (270m); rainforest boardwalk,❌ Ticketed,~$50,Must-Do,https://www.scenicworld.com.au/,
3,Sep 7,Monday,Blue Mountains,3,All-inclusive guided day tour — Hotel pickup; Featherdale Wildlife; Three Sisters; Scenic World; lunch; ferry return,❌ Paid tour,~$175,Nice-to-Have,https://www.viator.com/tours/Sydney/All-Inclusive-Blue-Mountains-Small-Group-Day-Trip-from-Sydney/d357-22584P1,
3,Sep 7,Monday,Blue Mountains,4,Active / backpacker tour — More hiking-focused; fewer tourist stops,❌ Paid tour,~$115,Nice-to-Have,https://www.viator.com/tours/Sydney/Blue-Mountains-Day-Trip-The-backpackers-option/d357-41231P1,
3,Sep 7,Monday,Blue Mountains,5,Private tour + wildlife + ferry return — Smaller group; flexible; wildlife park + Parramatta River cruise,❌ Paid tour,~$250+,Nice-to-Have,https://www.viator.com/tours/Sydney/Blue-Mountains-Private-Tour-inc-wild-kangaroos-and-ferry-ride/d357-186752P3,
4,Sep 8,Tuesday,Whitsundays,1,Airlie Beach Lagoon — Free public pool on waterfront; swim; lounge; explore main strip,✅ Free,$0,Must-Do,,
4,Sep 8,Tuesday,Whitsundays,2,Bicentennial Walkway — Flat waterfront path; lagoon to Cannonvale; Pioneer Bay views,✅ Free,$0,Nice-to-Have,,
4,Sep 8,Tuesday,Whitsundays,3,Boathaven Beach — Quiet local beach; good for sunset,✅ Free,$0,Nice-to-Have,,
4,Sep 8,Tuesday,Whitsundays,4,Sunset Sail — 2hr evening cruise; sparkling wine + snacks; schooner; departs 5pm,❌ Ticketed,~$90,Strong Recommend,https://www.viator.com/tours/Airlie-Beach/Sunset-Sail-Whitsundays/d28628-15941P2,
5,Sep 9,Wednesday,Whitsundays,1,Ocean Rafting — Southern Lights — Full day; more beach at Whitehaven + Hill Inlet; only operator with direct Hill Inlet beach drop,❌ Must book,~$190,Must-Do,https://www.viator.com/tours/Airlie-Beach/Rafting-Tour-to-Whitehaven-Beach/d28628-6381RAFTING,
5,Sep 9,Wednesday,Whitsundays,2,Ocean Rafting — Northern Exposure — Full day; two snorkel sites; less beach time,❌ Must book,~$190,Must-Do,https://www.viator.com/tours/Airlie-Beach/Rafting-Tour-to-Whitehaven-Beach/d28628-6381RAFTING,
5,Sep 9,Wednesday,Whitsundays,3,Cruise Whitsundays catamaran — Larger boat; smoother ride; Whitehaven + snorkel; less adventurous,❌ Must book,~$220,Nice-to-Have,https://sailing-whitsundays.com/tours/whitehaven-snorkel-and-hill-inlet,
6,Sep 10,Thursday,Whitsundays,1,Cruise Whitsundays — Hardy Reef (outer reef) — Full day; Reefworld pontoon 39nm offshore; snorkel gear; underwater observatory; lunch,❌ Must book,~$309,Must-Do,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,
6,Sep 10,Thursday,Whitsundays,2,Fly + Raft combo — Scenic flight Heart Reef + Ocean Rafting Whitehaven in one day,❌ Must book,~$500+,Nice-to-Have,https://www.viator.com/tours/Airlie-Beach/Great-Barrier-Reef-Scenic-Flight-and-Ocean-Rafting-Whitehaven-Beach-Day-Trip/d28628-6381P1,
7,Sep 11,Friday,Whitsundays,1,Scenic flight — Heart Reef aerial — 1hr over Heart Reef; Whitehaven; Hill Inlet; GBR,❌ Must book,~$330,Strong Recommend,https://www.viator.com/tours/Airlie-Beach/Whitsunday-Islands-and-Reef-Scenic-Flight-60-minutes/d28628-74405P4,
